sku,nome,categoria,marca,fabricante,modelo,compatibilidade_anos,preco,vendedor,cidade_uf,estoque,rating
855428,Lâmpada Vedamotors BMW F 800 GS,Lâmpada,Vedamotors,BMW,F 800 GS,2017-2020,388.28,Maringá Racing,Belo Horizonte/MG,16,4.2
537061,Amortecedor Bosch Honda CB 650R,Amortecedor,Bosch,Honda,CB 650R,2014-2019,236.3,Curitiba Motos,Salvador/BA,31,4.7
124560,Pneu Vedamotors Suzuki GSX-S750,Pneu,Vedamotors,Suzuki,GSX-S750,2014-2022,58.91,Fort Motos,Belo Horizonte/MG,12,3.3
431635,Disco de Freio Motul Suzuki GSX-S750,Disco de Freio,Motul,Suzuki,GSX-S750,2014-2015,91.09,Oficina do Zé,Campinas/SP,5,3.7
411467,Guidão Suzuki BMW F 800 GS,Guidão,Suzuki,BMW,F 800 GS,2021-2023,118.35,Fort Motos,Belo Horizonte/MG,15,5.0
540492,Escape Motul Honda XRE 300,Escape,Motul,Honda,XRE 300,2010-2022,158.7,Curitiba Motos,Goiânia/GO,0,4.9
485443,Filtro de Ar NGK Honda CB 650R,Filtro de Ar,NGK,Honda,CB 650R,2016-2020,429.97,Curitiba Motos,Porto Alegre/RS,37,4.0
814146,Amortecedor Kawasaki Kawasaki Versys 650,Amortecedor,Kawasaki,Kawasaki,Versys 650,2009-2018,82.76,Curitiba Motos,Curitiba/PR,9,3.9
826827,Escape Honda Yamaha MT-07,Escape,Honda,Yamaha,MT-07,2008-2010,179.21,Oficina do Zé,Rio de Janeiro/RJ,16,4.5
357257,Lâmpada Vedamotors Honda XRE 300,Lâmpada,Vedamotors,Honda,XRE 300,2015-2017,201.84,Curitiba Motos,Manaus/AM,10,4.7
862787,Lâmpada Kawasaki Honda CG 160,Lâmpada,Kawasaki,Honda,CG 160,2009-2016,111.87,Salvador Parts,Belo Horizonte/MG,24,3.5
756646,Pneu Bosch Honda CG 160,Pneu,Bosch,Honda,CG 160,2015-2022,145.13,Curitiba Motos,São Paulo/SP,22,4.2
484959,Amortecedor Bosch Kawasaki Z400,Amortecedor,Bosch,Kawasaki,Z400,2010-2013,72.96,Fort Motos,Belo Horizonte/MG,7,3.6
734230,Lâmpada RK Yamaha Fazer 250,Lâmpada,RK,Yamaha,Fazer 250,2013-2015,152.83,RioBike,Belo Horizonte/MG,24,4.0
514002,Pastilha de Freio RK Yamaha MT-07,Pastilha de Freio,RK,Yamaha,MT-07,2008-2021,148.4,MotoMix BH,Fortaleza/CE,11,4.8
583922,Escape Magnetron Yamaha Fazer 250,Escape,Magnetron,Yamaha,Fazer 250,2015-2020,346.57,MotoMix BH,Fortaleza/CE,0,3.9
694735,Cabo de Acelerador Honda Triumph Tiger 660,Cabo de Acelerador,Honda,Triumph,Tiger 660,2014-2018,190.46,Curitiba Motos,Fortaleza/CE,10,4.6
929156,Pastilha de Freio Vedamotors Kawasaki Ninja 400,Pastilha de Freio,Vedamotors,Kawasaki,Ninja 400,2019-2022,165.08,Maringá Racing,Salvador/BA,0,4.3
738738,Escape Yamaha Triumph Tiger 660,Escape,Yamaha,Triumph,Tiger 660,2016-2016,177.2,RioBike,Fortaleza/CE,8,3.8
642506,Disco de Freio Magnetron Kawasaki Z400,Disco de Freio,Magnetron,Kawasaki,Z400,2012-2022,196.54,RioBike,Curitiba/PR,22,4.1
869397,Pastilha de Freio Vedamotors Honda XRE 300,Pastilha de Freio,Vedamotors,Honda,XRE 300,2013-2015,103.94,RioBike,Belo Horizonte/MG,7,4.5
756008,Coroa e Pinhão RK Triumph Tiger 660,Coroa e Pinhão,RK,Triumph,Tiger 660,2021-2024,106.02,Maringá Racing,Salvador/BA,7,4.4
